round,test_acc,test_loss
0,0.068600,2.309219
5,0.105600,2.264498
10,0.214700,2.171398
15,0.486200,2.071596
20,0.591600,1.965214
25,0.613800,1.848016
30,0.639500,1.718438
35,0.644500,1.582795
40,0.677100,1.446839
45,0.688000,1.321341
50,0.715200,1.206075
55,0.735500,1.104707
60,0.759200,1.015120
65,0.778400,0.939547
70,0.792300,0.875315
75,0.808200,0.820184
80,0.818200,0.772292
85,0.826600,0.731735
90,0.834600,0.696788
95,0.840200,0.667169
100,0.846500,0.640315
105,0.850300,0.616484
110,0.855300,0.595169
115,0.859600,0.575949
120,0.860900,0.559159
125,0.865800,0.543945
130,0.868700,0.529534
135,0.869800,0.517002
140,0.873600,0.504817
145,0.874200,0.494036
150,0.876800,0.483903
155,0.877600,0.474857
160,0.879500,0.465894
165,0.881400,0.457865
170,0.881900,0.450721
175,0.884700,0.443369
180,0.885700,0.436906
185,0.886100,0.430724
190,0.887500,0.424795
195,0.888500,0.419500
200,0.889800,0.414334
