round,test_acc,test_loss,sum_byz
0,0.068600,2.309219,0.100000
10,0.069200,2.308785,0.107493
20,0.069200,2.308785,0.117647
30,0.173000,2.268154,0.117647
40,0.260200,2.215294,0.117647
50,0.334500,2.176489,0.117647
60,0.432600,2.122655,0.117647
70,0.507600,2.066060,0.117647
80,0.539300,2.010921,0.117647
90,0.594600,1.958534,0.117647
100,0.628800,1.908438,0.117647
110,0.609600,1.864192,0.117647
120,0.644800,1.809573,0.117647
130,0.644600,1.764980,0.117647
140,0.625800,1.715392,0.117647
150,0.650900,1.667251,0.117647
160,0.641100,1.626026,0.117647
170,0.647100,1.574952,0.117647
180,0.663100,1.531786,0.117647
190,0.668100,1.495632,0.117647
200,0.666500,1.456877,0.117647
